desert,forest,grassland,tundra,desert_pred,forest_pred,grassland_pred,tundra_pred,desert_label,forest_label,grassland_label,tundra_label
1,0,0,0,0.9946392622879068,0.5382154001601177,0.6378817158890743,0.5001459941226477,1.0,0.0,0.0,0.0
0,0,1,0,0.875714650596969,0.5,0.7905862566805845,0.8473159221520603,0.0,0.0,1.0,0.0
0,1,0,0,0.5064369441244633,0.990355117721424,0.5731269476389134,0.5382012970934219,0.0,1.0,0.0,0.0
1,0,0,0,0.619441429838816,0.5907856316983519,0.9894785614937108,0.5,0.0,0.0,1.0,0.0
0,1,0,0,0.6077092669643785,0.5,0.5,0.9985516060668992,0.0,0.0,0.0,1.0
0,0,0,1,0.604137990381171,0.5134171141099612,0.5021820525877257,0.9924886048298628,0.0,0.0,0.0,1.0
0,1,0,0,0.6515065576766552,0.512019806510168,0.9940850155222806,0.5,0.0,0.0,1.0,0.0
1,0,0,0,0.9800887876392826,0.5002256333674812,0.5345385042153271,0.7843774591148628,1.0,0.0,0.0,0.0
0,0,0,1,0.5,0.5877290563976253,0.5912055778551434,0.99036030867405,0.0,0.0,0.0,1.0
0,1,0,0,0.5020863013333409,0.994555250948133,0.5160889196382863,0.5775305666165306,0.0,1.0,0.0,0.0
0,0,1,0,0.5364660345564691,0.623005124705958,0.9918079030464396,0.5093646645561554,0.0,0.0,1.0,0.0
0,1,0,0,0.5062418447886977,0.989595275529726,0.5386658882454504,0.5944798949026117,0.0,1.0,0.0,0.0
0,0,1,0,0.6134373557994408,0.5369274534324892,0.9958565689070628,0.5,0.0,0.0,1.0,0.0
0,0,1,0,0.5466503445743324,0.5244676981816838,0.997099345028029,0.5326544177900986,0.0,0.0,1.0,0.0
0,1,0,0,0.5223461051544047,0.9919917079103412,0.5296784338623981,0.5795848048828022,0.0,1.0,0.0,0.0
1,0,0,0,0.9948593574571208,0.5,0.63160024031048,0.7211778991424286,1.0,0.0,0.0,0.0
0,0,0,1,0.6320646704972999,0.5,0.5,0.9974368821989712,0.0,0.0,0.0,1.0
0,0,0,1,0.590010233397038,0.5,0.5,0.9986081562863394,0.0,0.0,0.0,1.0
1,0,0,0,0.9959667273127598,0.544235700917523,0.6123132924929624,0.511517014592229,1.0,0.0,0.0,0.0
0,0,0,1,0.6384732000268307,0.5,0.5,0.9979433439853906,0.0,0.0,0.0,1.0
0,1,0,0,0.604955131126962,0.5,0.5,0.999725332246038,0.0,0.0,0.0,1.0
1,0,0,0,0.9923051830005986,0.5263460570422638,0.6581921348409193,0.5500762659235262,1.0,0.0,0.0,0.0
0,1,0,0,0.6368203318266485,0.5,0.99674094754478,0.5,0.0,0.0,1.0,0.0
0,0,1,0,0.5981516218437678,0.6228122925087557,0.9700705852400436,0.6119527778722529,0.0,0.0,1.0,0.0
0,0,0,1,0.665073925566808,0.5,0.5,0.994874333400878,0.0,0.0,0.0,1.0
1,0,0,0,0.9949125901768928,0.5,0.6969109264873493,0.689793825295732,1.0,0.0,0.0,0.0
0,1,0,0,0.5,0.996524937993078,0.5,0.5844251172543403,0.0,1.0,0.0,0.0
0,0,0,1,0.6339617906328334,0.5,0.5,0.9950177184500908,0.0,0.0,0.0,1.0
0,0,1,0,0.6982469996260031,0.5148971605488554,0.9863137796969969,0.5023643421732213,0.0,0.0,1.0,0.0
1,0,0,0,0.9885453690754804,0.5,0.7891384952012395,0.5960189909323489,1.0,0.0,0.0,0.0
0,0,0,1,0.567098987539842,0.6846766252409171,0.5,0.9959792560537116,0.0,0.0,0.0,1.0
0,1,0,0,0.5205964859402353,0.5936709677096754,0.9948212036421598,0.5595192164466625,0.0,0.0,1.0,0.0
0,0,0,1,0.5899247015944714,0.5,0.5,0.9979891603360646,0.0,0.0,0.0,1.0
0,1,0,0,0.6283360877782281,0.5,0.9986817728424732,0.5255540166891214,0.0,0.0,1.0,0.0
0,1,0,0,0.5340503176758992,0.9902087297439932,0.5663851922928097,0.5561820138683394,0.0,1.0,0.0,0.0
1,0,0,0,0.6361052170001915,0.5,0.9945180224228608,0.5,0.0,0.0,1.0,0.0
0,1,0,0,0.5767537422316282,0.6777036746888341,0.9922846683391234,0.5,0.0,0.0,1.0,0.0
0,0,0,1,0.5985096785845773,0.5,0.5,0.9981922833506532,0.0,0.0,0.0,1.0
